股票代码,股票名称,所属行业,概念板块,地区,总股本,流通股
sh600000,浦发银行,银行,"HS300_,转债标的,机构重仓,长江三角,融资融券,上证180_,互联金融,沪股通,证金持股,MSCI中国,富时罗素,标准普尔,蚂蚁概念,跨境支付,破净股",上海,30267679579.0,30267679579.0
sh600004,白云机场,航空机场,"机构重仓,预盈预增,融资融券,粤港自贸,央国企改革,中证500,沪股通,MSCI中国,富时罗素,标准普尔,2025中报预增",广东,2366718283.0,2366718283.0
sh600006,东风股份,汽车整车,"预亏预减,融资融券,燃料电池,央国企改革,沪股通,一带一路,人工智能,无人驾驶,冷链物流,氢能源,新能源车,车联网(车路云),地摊经济,湖北自贸,汽车芯片,汽车一体化压铸,新型工业化,首发经济",湖北,2000000000.0,2000000000.0
sh600007,中国国贸,房地产开发,"融资融券,中证500,上证380,沪股通,富时罗素,标准普尔",北京,1007282534.0,1007282534.0
sh600008,首创环保,公用事业,"节能环保,融资融券,央国企改革,中证500,上证380,沪股通,PPP模式,海绵城市,雄安新区,MSCI中国,富时罗素,垃圾分类,医废处理,REITs概念,绿色电力,地下管网,土壤修复,机器人概念,DeepSeek概念",北京,7340590677.0,7340590677.0
sh600009,上海机场,航空机场,"HS300_,机构重仓,预盈预增,长江三角,融资融券,上证180_,上海自贸,央国企改革,沪股通,证金持股,MSCI中国,富时罗素,标准普尔,免税概念",上海,2488481340.0,1918695948.0
sh600010,包钢股份,钢铁行业,"军工,HS300_,机构重仓,稀土永磁,西部大开发,融资融券,上证180_,央国企改革,氟化工,小金属概念,沪股通,一带一路,证金持股,MSCI中国,华为概念,富时罗素,标准普尔,数据中心,低价股,雅下水电概念",内蒙古,45288619348.0,31380798287.0
sh600011,华能国际,电力行业,"AH股,HS300_,机构重仓,核能核电,太阳能,风能,融资融券,上证180_,央国企改革,沪股通,一带一路,证金持股,MSCI中国,富时罗素,标准普尔,绿色电力,超超临界发电,中特估",河北,15698093359.0,10997709919.0
sh600012,皖通高速,铁路公路,"AH股,融资融券,参股新三板,央国企改革,上证380,沪股通,富时罗素,标准普尔",安徽,1708591889.0,1165600000.0
sh600015,华夏银行,银行,"HS300_,机构重仓,融资融券,上证180_,互联金融,央国企改革,沪股通,证金持股,MSCI中国,富时罗素,标准普尔,蚂蚁概念,跨境支付,破净股",北京,15914928468.0,15387223983.0
sh600016,民生银行,银行,"AH股,HS300_,参股券商,融资融券,央视50_,上证180_,互联金融,沪股通,MSCI中国,富时罗素,标准普尔,跨境支付,破净股",北京,43782418502.0,35462123213.0
sh600017,日照港,航运港口,"融资融券,央国企改革,沪股通,一带一路,证金持股,破净股",山东,3075653888.0,3075653888.0
sh600018,上港集团,航运港口,"HS300_,参股银行,机构重仓,长江三角,融资融券,上证180_,上海自贸,沪企改革,央国企改革,沪股通,体育产业,一带一路,证金持股,富时罗素,标准普尔,免税概念,F5G概念,破净股",上海,23281365262.0,23214577754.0
sh600019,宝钢股份,钢铁行业,"HS300_,参股银行,机构重仓,长江三角,融资融券,上证180_,特斯拉,央国企改革,沪股通,一带一路,航母概念,证金持股,MSCI中国,区块链,富时罗素,标准普尔,低碳冶金,破净股,中特估",上海,21782084749.0,21782084749.0
sh600020,中原高速,铁路公路,"创投,参股银行,融资融券,参股保险,央国企改革,充电桩,沪股通,富时罗素,标准普尔,化债(AMC)概念,破净股",河南,2247371832.0,2247371832.0
sh600021,上海电力,电力行业,"新能源,预盈预增,核能核电,太阳能,长江三角,风能,融资融券,央国企改革,中证500,上证380,沪股通,证金持股,MSCI中国,天然气,氢能源,富时罗素,标准普尔,碳交易,绿色电力,2025中报预增",上海,2816743645.0,2816743645.0
sh600022,山东钢铁,钢铁行业,"预盈预增,融资融券,央国企改革,沪股通,人工智能,低价股,机器人概念,破净股,2025中报扭亏",山东,10698849554.0,10698849554.0
sh600023,浙能电力,电力行业,"HS300_,核能核电,融资融券,上证180_,央国企改革,沪股通,MSCI中国,超超临界发电,破净股",浙江,13408732749.0,13408732749.0
sh600025,华能水电,电力行业,"新能源,HS300_,太阳能,西部大开发,风能,融资融券,水利建设,上证180_,央国企改革,沪股通,MSCI中国,标准普尔,绿色电力,中特估",云南,18000000000.0,18000000000.0
sh600026,中远海能,航运港口,"AH股,HS300_,中字头,融资融券,上证180_,海洋经济,央国企改革,沪股通,一带一路,证金持股,MSCI中国,富时罗素,标准普尔",上海,4770776395.0,3474776395.0
sh600027,华电国际,电力行业,"新能源,AH股,HS300_,机构重仓,风能,融资融券,上证180_,央国企改革,沪股通,证金持股,MSCI中国,富时罗素,标准普尔,虚拟电厂,绿色电力,超超临界发电",山东,10906424390.0,8510327533.0
sh600028,中国石化,石油行业,"AH股,HS300_,中字头,机构重仓,融资融券,页岩气,上证50_,上证180_,央国企改革,沪股通,一带一路,证金持股,MSCI中国,天然气,氢能源,富时罗素,标准普尔,碳交易,破净股,中特估",北京,121245237698.0,94841824851.0
sh600029,南方航空,航空机场,"AH股,HS300_,参股银行,转债标的,机构重仓,预盈预增,融资融券,通用航空,央国企改革,沪股通,证金持股,MSCI中国,华为概念,富时罗素,标准普尔,免税概念",广东,18120917661.0,12673348925.0
sh600030,中信证券,证券,"AH股,HS300_,参股期货,参股银行,深圳特区,融资融券,上证50_,上证180_,互联金融,沪股通,券商概念,证金持股,MSCI中国,华为概念,富时罗素,标准普尔,科创板做市商",广东,14820546829.0,12176550974.0
sh600031,三一重工,工程机械,"军工,HS300_,参股银行,机构重仓,融资融券,上证50_,上证180_,沪股通,一带一路,证金持股,军民融合,MSCI中国,工业互联,富时罗素,标准普尔,新能源车,工程机械概念,茅指数,雅下水电概念",北京,8474390037.0,8474390037.0
sh600032,浙江新能,电力行业,"新能源,太阳能,风能,融资融券,央国企改革,中证500,上证380,沪股通,氢能源,抽水蓄能,绿色电力",浙江,2404675324.0,2404675324.0
sh600033,福建高速,铁路公路,"参股银行,融资融券,参股保险,央国企改革,沪股通,破净股",福建,2744400000.0,2744400000.0
sh600035,楚天高速,铁路公路,"创投,物联网,融资融券,央国企改革,沪股通,ETC,车联网(车路云),湖北自贸,REITs概念,破净股",湖北,1610115901.0,1610115901.0
sh600036,招商银行,银行,"AH股,HS300_,深圳特区,机构重仓,融资融券,央视50_,上证50_,上证180_,互联金融,沪股通,证金持股,MSCI中国,富时罗素,标准普尔,茅指数,跨境支付",广东,25219845601.0,20628944429.0
sh600037,歌华有线,文化传媒,"网络游戏,物联网,云计算,融资融券,智慧城市,大数据,在线教育,央国企改革,阿里概念,沪股通,证金持股,虚拟现实,广电,数据中心,破净股",北京,1391777884.0,1391777884.0
sh600038,中直股份,航天航空,"军工,融资融券,通用航空,央国企改革,中证500,无人机,上证380,沪股通,军民融合,大飞机,MSCI中国,富时罗素,标准普尔,飞行汽车(eVTOL),低空经济",黑龙江,819893213.0,668935221.0
sh600039,四川路桥,工程建设,"HS300_,成渝特区,锂电池,西部大开发,融资融券,上证180_,央国企改革,沪股通,一带一路,PPP模式,MSCI中国,富时罗素,标准普尔,碳交易,磷化工,雅下水电概念",四川,8710039485.0,6715566605.0
sh600048,保利发展,房地产开发,"HS300_,参股券商,转债标的,机构重仓,预亏预减,融资融券,上证50_,上证180_,养老概念,央国企改革,沪股通,证金持股,MSCI中国,租售同权,富时罗素,标准普尔,REITs概念,破净股,2025中报预减",广东,11970443418.0,11970443418.0
sh600050,中国联通,通信服务,"HS300_,中字头,参股银行,物联网,移动支付,融资融券,上证50_,上证180_,大数据,央国企改革,阿里概念,沪股通,量子科技,5G概念,MSCI中国,区块链,华为概念,超清视频,富时罗素,标准普尔,IPv6,WiFi,数据安全,算力概念,数据要素,中特估,DeepSeek概念",北京,31264425327.0,30766826127.0
sh600051,宁波联合,综合行业,"QFII重仓,长江三角,内贸流通,破净股,微盘股",浙江,310880000.0,310880000.0
sh600052,东望时代,公用事业,"参股银行,预亏预减,长江三角,央国企改革,体育产业,股权转让,影视概念",浙江,844194741.0,844194741.0
sh600053,九鼎投资,多元金融,"创投,预亏预减,融资融券,参股新三板,沪股通,富时罗素,标准普尔",江西,433540800.0,433540800.0
sh600054,黄山旅游,旅游酒店,"AB股,参股券商,央国企改革,IPO受益,沪股通",安徽,729379440.0,513300000.0
sh600055,万东医疗,医疗器械,"融资融券,大数据,医疗器械概念,阿里概念,沪股通,互联医疗,AI制药（医疗）",北京,703061058.0,703061058.0
sh600056,中国医药,医药商业,"中字头,预亏预减,融资融券,医疗器械概念,央国企改革,中证500,沪股通,证金持股,富时罗素,标准普尔,流感,内贸流通,痘病毒防治",北京,1495879748.0,1495351478.0
sh600057,厦门象屿,物流行业,"参股银行,股权激励,融资融券,土地流转,央国企改革,上证380,沪股通,一带一路,冷链物流,富时罗素,农业种植,数据要素",福建,2806369661.0,2192510201.0
sh600058,五矿发展,贸易行业,"新材料,预盈预增,融资融券,电商概念,央国企改革,小金属概念,沪股通,内贸流通,2025中报预增",北京,1071910711.0,1071910711.0
sh600059,古越龙山,酿酒行业,"参股银行,机构重仓,长江三角,融资融券,电商概念,央国企改革,沪股通,白酒,网红经济",浙江,911542413.0,911542413.0
sh600060,海信视像,家电行业,"基金重仓,LED,融资融券,智能家居,中证500,上证380,沪股通,体育产业,MSCI中国,电子竞技,超清视频,标准普尔,国产芯片,元宇宙概念",山东,1304972254.0,1295094388.0
sh600061,国投资本,证券,"HS300_,参股期货,转债标的,机构重仓,长江三角,融资融券,互联金融,央国企改革,上证380,沪股通,券商概念,证金持股,雄安新区,MSCI中国,富时罗素,标准普尔,破净股",上海,6393981723.0,6393981723.0
sh600062,华润双鹤,化学制药,"融资融券,中药概念,病毒防治,央国企改革,中证500,沪股通,MSCI中国,富时罗素,青蒿素,标准普尔,流感,长寿药,肝素概念,创新药,合成生物",北京,1038757509.0,1032630823.0
sh600063,皖维高新,化纤行业,"煤化工,参股券商,新材料,预盈预增,融资融券,央国企改革,沪股通,OLED,降解塑料,2025中报预增",安徽,2104618229.0,1925894692.0
sh600064,南京高科,房地产开发,"创投,参股券商,参股银行,长江三角,融资融券,参股新三板,央国企改革,IPO受益,上证380,沪股通,证金持股,破净股",江苏,1730339644.0,1730339644.0
sh600066,宇通客车,汽车整车,"HS300_,预盈预增,融资融券,上证180_,燃料电池,沪股通,无人驾驶,MSCI中国,富时罗素,标准普尔,新能源车,车联网(车路云)",河南,2213939223.0,2213939223.0
